"ID","Exited"
1836,"No"
1935,"No"
716,"No"
1564,"No"
2631,"No"
1308,"No"
1781,"No"
322,"Yes"
1413,"Yes"
719,"No"
1894,"No"
2593,"No"
2093,"No"
2146,"No"
1354,"No"
1644,"No"
1392,"Yes"
1460,"Yes"
1513,"Yes"
390,"Yes"
2461,"No"
135,"No"
1831,"Yes"
883,"No"
786,"No"
1217,"Yes"
1466,"Yes"
409,"No"
2396,"Yes"
835,"No"
1627,"Yes"
476,"No"
591,"No"
964,"No"
988,"No"
892,"Yes"
1742,"No"
2398,"Yes"
428,"No"
1425,"No"
2903,"Yes"
930,"No"
1068,"No"
1554,"Yes"
379,"Yes"
2933,"No"
671,"No"
2547,"No"
676,"Yes"
377,"Yes"
2566,"Yes"
312,"No"
1511,"No"
2634,"No"
854,"No"
2597,"No"
870,"No"
267,"No"
1255,"Yes"
792,"Yes"
1860,"Yes"
993,"No"
2852,"No"
158,"No"
452,"Yes"
590,"No"
2777,"No"
750,"No"
69,"No"
1780,"No"
1056,"Yes"
2653,"No"
1396,"No"
2732,"Yes"
1385,"Yes"
548,"No"
2472,"Yes"
1310,"Yes"
2673,"No"
1251,"Yes"
2916,"No"
853,"Yes"
1490,"Yes"
2249,"No"
1874,"Yes"
212,"No"
2754,"Yes"
2255,"Yes"
2886,"No"
1320,"No"
2700,"No"
2173,"Yes"
602,"No"
2448,"Yes"
1901,"Yes"
2481,"No"
851,"No"
2666,"Yes"
598,"Yes"
1323,"Yes"
1351,"Yes"
2492,"Yes"
555,"Yes"
1670,"Yes"
967,"No"
2178,"No"
2490,"No"
2326,"No"
1047,"No"
1663,"Yes"
928,"Yes"
1069,"Yes"
634,"No"
1937,"No"
1445,"No"
2148,"Yes"
1341,"No"
1452,"No"
1495,"No"
2275,"Yes"
2019,"No"
951,"Yes"
865,"Yes"
2787,"No"
2849,"Yes"
199,"Yes"
701,"Yes"
950,"No"
2154,"Yes"
48,"Yes"
1879,"No"
592,"No"
2240,"No"
11,"No"
159,"Yes"
1359,"No"
2788,"Yes"
2028,"No"
1619,"No"
2678,"No"
2744,"No"
237,"No"
940,"No"
2090,"No"
1470,"No"
2890,"No"
645,"Yes"
152,"Yes"
324,"No"
2040,"Yes"
762,"Yes"
1123,"No"
712,"Yes"
1184,"Yes"
2489,"No"
2303,"Yes"
2112,"No"
757,"No"
657,"No"
459,"No"
797,"No"
1551,"No"
2357,"Yes"
388,"No"
1081,"Yes"
2764,"Yes"
2086,"No"
2413,"No"
1951,"No"
510,"Yes"
2727,"No"
1233,"No"
321,"Yes"
1783,"Yes"
2996,"Yes"
2026,"Yes"
350,"No"
1349,"No"
408,"Yes"
1480,"No"
2629,"No"
1422,"Yes"
2008,"No"
1105,"No"
1621,"Yes"
1557,"No"
2037,"No"
1563,"No"
453,"Yes"
2559,"No"
791,"Yes"
1651,"No"
1271,"No"
1284,"Yes"
